#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
12,Coastline of Brazil.txt,wikipedia,"Bahia has the longest coastline of the Brazilian states, and also the greatest number of coastal municipalities. Porto Seguro is regarded as the first place in which Pedro Álvares Cabral, discoverer of Brazil, set foot. Salvador was the first capital of Brazil, and still boasts well-preserved buildings of the colonial and imperial periods of Brazil.",Which Brazilian state has the largest number of coastal cities?,It's the Bahia state,"A Bahia tem o litoral mais longo dos estados brasileiros, e também o maior número de municípios costeiros. Porto Seguro é considerado como o primeiro lugar em que Pedro Álvares Cabral, descobridor do Brasil, conjunto de pé. Salvador foi a primeira capital do Brasil, e ainda possui prédios bem preservados dos períodos colonial e imperial do Brasil.",Qual estado brasileiro tem o maior número de cidades costeiras?,É o estado da Bahia
13,Exclusive economic zone of Brazil.txt,wikipedia,"he area may be expanded to 4.4 million square kilometres in view of the Brazilian claim that was submitted to the United Nations Commission on the Limits of the Continental Shelf (CLCS) in 2004. It is proposed to extend Brazil's continental shelf to 900 thousand square kilometers of marine soil and subsoil, which the country will be able to explore. With the extension, the area will become more contiguous, including the areas of Brazilian archipelagos in the South Atlantic . The region with the largest Blue Amazon is the Northeast, due to the existence of several islands that are well spaced from each other in a contiguous marine zone (the island of Trindade is too far from the coast for the same to occur). ",Which Brazilian region has the largest share of the Blue Amazon?,The Northeast region.,"A área pode ser expandida para 4,4 milhões de quilômetros quadrados, tendo em vista a alegação brasileira que foi submetida à Comissão das Nações Unidas sobre os limites da plataforma continental (CLCs) em 2004. Propõe-se estender a plataforma continental do Brasil para 900 mil quilômetros quadrados de solo marinho e subsolo, que o país poderá explorar. Com a extensão, a área se tornará mais contígua, incluindo as áreas dos arquipélagos brasileiros no Atlântico Sul. A região com a maior Amazônia azul é o nordeste, devido à existência de várias ilhas que estão bem espaçadas em uma zona marinha contígua (a ilha de Trindade é muito longe da costa para o mesmo acontecer).",Qual região brasileira tem a maior parte da Amazônia Amazônica?,A região nordeste.
14,Exclusive economic zone of Brazil.txt,wikipedia,"This region has many riches and potential for various types of economic use:
    Fishing, due to the enormous diversity of marine species that reside in this region.
    Metallic minerals and other mineral resources in the seabed;
    Enormous biodiversity of marine species that reside in this region.
    Oil, as found in the Campos Basin and in the Pre-salt layer (Campos Basin, Santos Basin and Espírito Santo Basin – prospecting in these areas already accounts for two million barrels of oil per day, 90% of the current Brazilian production );","Are fishing, oil extraction and mining typical activities carried out in the Blue Amazon?",Yes.,"Esta região tem muitas riquezas e potencial para vários tipos de uso econômico:
    Pesca, devido à enorme diversidade de espécies marinhas que residem nesta região.
    Minerais metálicos e outros recursos minerais no fundo do mar;
    Enorme biodiversidade de espécies marinhas que residem nesta região.
    Óleo, como encontrado na Bacia de Campos e na camada pré-sal (Bacia de Campos, Basina de Santos e Basina Espírito Santo - prospecção nessas áreas já responde por dois milhões de barris de petróleo por dia, 90% da atual produção brasileira);",As atividades típicas de extração e mineração de óleo são realizadas na Amazônia Amazônica?,sim.
15,Pre-salt layer.txt,wikipedia,"The pre-salt layer is a diachronous series of geological formations on the continental shelves of extensional basins formed after the break-up of Gondwana, characterised by the deposition of thick layers of evaporites, mostly salt. Some of the petroleum that was generated from sediments in the pre-salt layer, has not migrated upward (see salt dome) to the post-salt layers above. This is especially common off the coast of Africa and Brazil. The total oil reserves are thought to be a significant fraction of the world's reserves. According to Petrobras, the oil and natural gas lie below an approximately 2,000 metres (6,600 ft) thick layer of salt, itself below in places more than 2,000 metres (6,600 ft) of post-salt sediments, in water depths between 2,000 and 3,000 metres (6,600 and 9,800 ft) in the South Atlantic. Drilling through the rock and salt to extract the pre-salt oil and gas is very expensive.",What is the pre-salt layer?,"It is a diachronous series of geological formations on the continental shelves of extensional basins formed after the break-up of Gondwana, characterised by the deposition of thick layers of evaporites, mostly salt.","A camada pré-sal é uma série diacrônica de formações geológicas nas prateleiras continentais de bacias extensionais formadas após o desmembramento de gondwana, caracterizada pela deposição de espessas camadas de evaporites, principalmente sal. Alguns dos petróleo que foram gerados a partir de sedimentos na camada pré-sal, não migraram para cima (ver Salt Dome) para as camadas pós-sal acima. Isso é especialmente comum fora da costa da África e do Brasil. As reservas totais de petróleo são consideradas uma fração significativa das reservas do mundo. De acordo com a Petrobras, o petróleo e o gás natural estão abaixo de uma camada espessa de aproximadamente 2.000 metros (6.600 pés), em si abaixo de mais de 2.000 metros (6.600 pés) de sedimentos pós-sal, em profundidades de água entre 2.000 e 3.000 metros (6.600 e 9.800 pés) no Atlântico Sul. Perfurar pela rocha e sal para extrair o petróleo pré-sal e o gás é muito caro.",Qual é a camada pré-sal?,"É uma série diacrônica de formações geológicas nas prateleiras continentais de bacias extensionais formadas após o desmembramento de Gondwana, caracterizada pela deposição de camadas grossas de evaporites, principalmente sal."
16,Pre-salt layer.txt,wikipedia,"The pre-salt layer is a diachronous series of geological formations on the continental shelves of extensional basins formed after the break-up of Gondwana, characterised by the deposition of thick layers of evaporites, mostly salt. Some of the petroleum that was generated from sediments in the pre-salt layer, has not migrated upward (see salt dome) to the post-salt layers above. This is especially common off the coast of Africa and Brazil. The total oil reserves are thought to be a significant fraction of the world's reserves. According to Petrobras, the oil and natural gas lie below an approximately 2,000 metres (6,600 ft) thick layer of salt, itself below in places more than 2,000 metres (6,600 ft) of post-salt sediments, in water depths between 2,000 and 3,000 metres (6,600 and 9,800 ft) in the South Atlantic. Drilling through the rock and salt to extract the pre-salt oil and gas is very expensive.",Why hasn't the pre-salt oil started to be explored intensively yet?,Because drilling through the rock and salt is very expensive.,"A camada pré-sal é uma série diacrônica de formações geológicas nas prateleiras continentais de bacias extensionais formadas após o desmembramento de gondwana, caracterizada pela deposição de espessas camadas de evaporites, principalmente sal. Alguns dos petróleo que foram gerados a partir de sedimentos na camada pré-sal, não migraram para cima (ver Salt Dome) para as camadas pós-sal acima. Isso é especialmente comum fora da costa da África e do Brasil. As reservas totais de petróleo são consideradas uma fração significativa das reservas do mundo. De acordo com a Petrobras, o petróleo e o gás natural estão abaixo de uma camada espessa de aproximadamente 2.000 metros (6.600 pés), em si abaixo de mais de 2.000 metros (6.600 pés) de sedimentos pós-sal, em profundidades de água entre 2.000 e 3.000 metros (6.600 e 9.800 pés) no Atlântico Sul. Perfurar pela rocha e sal para extrair o petróleo pré-sal e o gás é muito caro.",Por que o óleo pré-sal começou a ser explorado intensamente ainda?,Porque a perfuração através da rocha e o sal é muito caro.
17,Pre-salt layer.txt,wikipedia,"The pre-salt layer is a diachronous series of geological formations on the continental shelves of extensional basins formed after the break-up of Gondwana, characterised by the deposition of thick layers of evaporites, mostly salt. Some of the petroleum that was generated from sediments in the pre-salt layer, has not migrated upward (see salt dome) to the post-salt layers above. This is especially common off the coast of Africa and Brazil. The total oil reserves are thought to be a significant fraction of the world's reserves. According to Petrobras, the oil and natural gas lie below an approximately 2,000 metres (6,600 ft) thick layer of salt, itself below in places more than 2,000 metres (6,600 ft) of post-salt sediments, in water depths between 2,000 and 3,000 metres (6,600 and 9,800 ft) in the South Atlantic. Drilling through the rock and salt to extract the pre-salt oil and gas is very expensive.",How deep is the pre-salt layer?,"It depths between 2,000 and 3,000 metres (6,600 and 9,800 ft) in the South Atlantic.","A camada pré-sal é uma série diacrônica de formações geológicas nas prateleiras continentais de bacias extensionais formadas após o desmembramento de gondwana, caracterizada pela deposição de espessas camadas de evaporites, principalmente sal. Alguns dos petróleo que foram gerados a partir de sedimentos na camada pré-sal, não migraram para cima (ver Salt Dome) para as camadas pós-sal acima. Isso é especialmente comum fora da costa da África e do Brasil. As reservas totais de petróleo são consideradas uma fração significativa das reservas do mundo. De acordo com a Petrobras, o petróleo e o gás natural estão abaixo de uma camada espessa de aproximadamente 2.000 metros (6.600 pés), em si abaixo de mais de 2.000 metros (6.600 pés) de sedimentos pós-sal, em profundidades de água entre 2.000 e 3.000 metros (6.600 e 9.800 pés) no Atlântico Sul. Perfurar pela rocha e sal para extrair o petróleo pré-sal e o gás é muito caro.",Quão profunda é a camada pré-sal?,Profundas de TI entre 2.000 e 3.000 metros (6.600 e 9.800 pés) no Atlântico Sul.
18,Santos Basin.txt,wikipedia,"The Santos Basin (Portuguese: Bacia de Santos) is an approximately 352,000 square kilometres (136,000 sq mi) large mostly offshore sedimentary basin. It is located in the south Atlantic Ocean, some 300 kilometres (190 mi) southeast of Santos, Brazil. The basin is one of the Brazilian basins to have resulted from the break-up of Gondwana since the Early Cretaceous, where a sequence of rift basins formed on both sides of the South Atlantic; the Pelotas, Santos, Campos and Espírito Santo Basins in Brazil, and the Namibia, Kwanza and Congo Basins in southwestern Africa. ",How big is the Santos Basin?,"approximately 352,000 square kilometres large.","A Bacia de Santos (Português: Bacia de Santos) é de aproximadamente 352.000 quilômetros quadrados (136.000 mi) maior na maior parte da bacia sedimentar offshore. Está localizado no sul do Atlântico, cerca de 300 quilômetros (190 km) sudeste de Santos, Brasil. A bacia é uma das bacias brasileiras para ter resultado do desmembramento de Gondwana desde o início do cretáceo, onde uma sequência de bacias de rift formada em ambos os lados do Atlântico Sul; As pelas bacias Pelotas, Santos, Campos e Espírito Santo no Brasil, e as bacias da Namíbia, Kwanza e Congo, no sudoeste da África.",Quão grande é a bacia de Santos?,aproximadamente 352.000 quilômetros quadrados grandes.
19,Santos Basin.txt,wikipedia,"The Santos Basin (Portuguese: Bacia de Santos) is an approximately 352,000 square kilometres (136,000 sq mi) large mostly offshore sedimentary basin. It is located in the south Atlantic Ocean, some 300 kilometres (190 mi) southeast of Santos, Brazil. The basin is one of the Brazilian basins to have resulted from the break-up of Gondwana since the Early Cretaceous, where a sequence of rift basins formed on both sides of the South Atlantic; the Pelotas, Santos, Campos and Espírito Santo Basins in Brazil, and the Namibia, Kwanza and Congo Basins in southwestern Africa. ",How was the Santos Basin formed? ,It resulted from the break-up of Gondwana since the Early Cretaceous.,"A Bacia de Santos (Português: Bacia de Santos) é de aproximadamente 352.000 quilômetros quadrados (136.000 mi) maior na maior parte da bacia sedimentar offshore. Está localizado no sul do Atlântico, cerca de 300 quilômetros (190 km) sudeste de Santos, Brasil. A bacia é uma das bacias brasileiras para ter resultado do desmembramento de Gondwana desde o início do cretáceo, onde uma sequência de bacias de rift formada em ambos os lados do Atlântico Sul; As pelas bacias Pelotas, Santos, Campos e Espírito Santo no Brasil, e as bacias da Namíbia, Kwanza e Congo, no sudoeste da África.",Como foi formada a bacia de Santos?,Resultou-se do desmembramento de Gondwana desde o início do cretáceo.
20,Santos Basin.txt,wikipedia,"Santos Basin is separated from the Campos Basin to the north by the Cabo Frio High and the Pelotas Basin in the south by the Florianópolis High and the northwestern boundary onshore is formed by the Serra Do Mar coastal range. The basin is known for its thick layers of salt that have formed structures in the subsurface due to halokinesis. The basin started forming in the Early Cretaceous on top of the Congo Craton as a rift basin. The rift stage of the basin evolution combined with the arid Aptian climate of the southern latitudes resulted in the deposition of evaporites in the Late Aptian, approximately 112 million years ago. The phase of rifting was followed by a thermal sag phase and drift stage in the widening of the South Atlantic Ocean. This process led to the deposition of a more than 20 kilometres (66,000 ft) thick succession of clastic and carbonate sediments. ",Which regions delimit the Santos Basin?,Santos Basin is separated from the Campos Basin to the north by the Cabo Frio High and the Pelotas Basin in the south by the Florianópolis High and the northwestern boundary onshore is formed by the Serra Do Mar coastal range.,"A bacia de Santos é separada da Bacia de Campos para o norte pelo Cabo Frio High e a Bacia Pelotas no sul pela Florianópolis High e o limite noroeste onshore é formado pela Serra do Mar Coastal. A bacia é conhecida por suas espessas camadas de sal que formaram estruturas no subsurface devido ao halocinesis. A bacia começou a se formar no início do cretáceo em cima do Congo Craton como uma bacia de Rift. A fase de fenda da evolução da bacia combinada com o clima árido da Aptiana das latitudes do sul resultaram na deposição de evaporitas no falecido aptiano, aproximadamente 112 milhões de anos atrás. A fase de rifting foi seguida por uma fase de saga térmica e fase de deriva na ampliação do Oceano Atlântico Sul. Este processo levou à deposição de mais de 20 quilômetros (66.000 pés) de espessura de sedimentos clásticos e carbonato.",Quais regiões delimitam a bacia de Santos?,A bacia de Santos é separada da Bacia de Campos para o norte pelo Cabo Frio High e a Bacia Pelotas no sul pela Florianópolis High e o limite noroeste onshore é formado pela Serra do Mar Coastal.
21,Santos Basin.txt,wikipedia,"One of the largest Brazilian sedimentary basins, it is the site of several recently (2007 and later) discovered giant oil and gas fields, including the first large pre-salt discovery Tupi (8 billion barrels), Júpiter (1.6 billion barrels and 17 tcf of gas), and Libra, with an estimated 8 to 12 billion barrels of recoverable oil. Main source rocks are the lacustrine shales and carbonates of the pre-salt Guaratiba Group and the marine shales of the post-salt Itajaí-Açu Formation. Reservoir rocks are formed by the pre-salt Guaratiba sandstones, limestones and microbialites, the Albian limestones of the Guarujá Formation and the Late Cretaceous to Paleogene turbiditic sandstones of the Itanhaém, Juréia, Itajaí-Açu, Florianópolis and Marambaia Formations. The mobile salt of the Ariri Formation forms regional seals, as well as the shales of the post-salt sedimentary infill. In 2014, the total production of only the sub-salt reservoirs accumulated to more than 250 thousand barrels per day (40×103 m3/d). In 2017, the Santos Basin accounted for 35% of Brazil's oil, with the northern neighbour Campos Basin at 55%. ","Until 2017, what was the share of oil in the Santos Basin in the Brazilian total?",35%.,"Uma das maiores bacias sedimentares brasileiras, é o local de vários recém (2007 e posterior) descoberta campos gigantes de petróleo e gás, incluindo a primeira grande descoberta pré-sal tupi (8 bilhões de barris), Júpiter (1,6 bilhões de barris e 17 tcf de gás), e Libra, com cerca de 8 a 12 bilhões de barris de óleo recuperável. As rochas da fonte principal são os shales lacustres e carbonatos do Grupo de Guaratiba Pré-Sal e dos Shales Marinhos da Formação Pós-Salta Itajaí-Açu. Rochas de reservatório são formadas pelos arenitos de Guaratiba pré-sal, calcários e microbiana, os calcários albianos da formação de Guarujá e o falecido cretáceo a arenitos turbidíacitários de Paleogene das formações de Itajaím, Juréia, Itajaí-Açu, Florianópolis e Marambaia. O sal móvel da formação Ariri forma selos regionais, bem como os shales do enchimento sedimentar pós-sal. Em 2014, a produção total de apenas os reservatórios sub-sal acumulados para mais de 250 mil barris por dia (40 × 103 m3 / d). Em 2017, a Bacia de Santos representou 35% do petróleo do Brasil, com a Bacia do Norte de Campos vizinhos em 55%.","Até 2017, qual foi a participação de óleo na Bacia de Santos no total brasileiro?",35%.
22,Santos Basin.txt,wikipedia,"One of the largest Brazilian sedimentary basins, it is the site of several recently (2007 and later) discovered giant oil and gas fields, including the first large pre-salt discovery Tupi (8 billion barrels), Júpiter (1.6 billion barrels and 17 tcf of gas), and Libra, with an estimated 8 to 12 billion barrels of recoverable oil. Main source rocks are the lacustrine shales and carbonates of the pre-salt Guaratiba Group and the marine shales of the post-salt Itajaí-Açu Formation. Reservoir rocks are formed by the pre-salt Guaratiba sandstones, limestones and microbialites, the Albian limestones of the Guarujá Formation and the Late Cretaceous to Paleogene turbiditic sandstones of the Itanhaém, Juréia, Itajaí-Açu, Florianópolis and Marambaia Formations. The mobile salt of the Ariri Formation forms regional seals, as well as the shales of the post-salt sedimentary infill. In 2014, the total production of only the sub-salt reservoirs accumulated to more than 250 thousand barrels per day (40×103 m3/d). In 2017, the Santos Basin accounted for 35% of Brazil's oil, with the northern neighbour Campos Basin at 55%. ",What is the composition of the Santos Basin?,"Main source rocks are the lacustrine shales and carbonates of the pre-salt Guaratiba Group and the marine shales of the post-salt Itajaí-Açu Formation. Reservoir rocks are formed by the pre-salt Guaratiba sandstones, limestones and microbialites, the Albian limestones of the Guarujá Formation and the Late Cretaceous to Paleogene turbiditic sandstones of the Itanhaém, Juréia, Itajaí-Açu, Florianópolis and Marambaia Formations. The mobile salt of the Ariri Formation forms regional seals, as well as the shales of the post-salt sedimentary infill.","Uma das maiores bacias sedimentares brasileiras, é o local de vários recém (2007 e posterior) descoberta campos gigantes de petróleo e gás, incluindo a primeira grande descoberta pré-sal tupi (8 bilhões de barris), Júpiter (1,6 bilhões de barris e 17 tcf de gás), e Libra, com cerca de 8 a 12 bilhões de barris de óleo recuperável. As rochas da fonte principal são os shales lacustres e carbonatos do Grupo de Guaratiba Pré-Sal e dos Shales Marinhos da Formação Pós-Salta Itajaí-Açu. Rochas de reservatório são formadas pelos arenitos de Guaratiba pré-sal, calcários e microbiana, os calcários albianos da formação de Guarujá e o falecido cretáceo a arenitos turbidíacitários de Paleogene das formações de Itajaím, Juréia, Itajaí-Açu, Florianópolis e Marambaia. O sal móvel da formação Ariri forma selos regionais, bem como os shales do enchimento sedimentar pós-sal. Em 2014, a produção total de apenas os reservatórios sub-sal acumulados para mais de 250 mil barris por dia (40 × 103 m3 / d). Em 2017, a Bacia de Santos representou 35% do petróleo do Brasil, com a Bacia do Norte de Campos vizinhos em 55%.",Qual é a composição da bacia de Santos?,"As rochas da fonte principal são os shales lacustres e carbonatos do Grupo de Guaratiba Pré-Sal e dos Shales Marinhos da Formação Pós-Salta Itajaí-Açu. Rochas de reservatório são formadas pelos arenitos de Guaratiba pré-sal, calcários e microbiana, os calcários albianos da formação de Guarujá e o falecido cretáceo a arenitos turbidíacitários de Paleogene das formações de Itajaím, Juréia, Itajaí-Açu, Florianópolis e Marambaia. O sal móvel da formação Ariri forma selos regionais, bem como os shales do enchimento sedimentar pós-sal."
23,Santos Basin.txt,wikipedia,The Santos Basin is named after the coastal city of Santos in the state of São Paulo.,Why does the Santos Basin have that name?,The Santos Basin is named after the coastal city of Santos in the state of São Paulo.,A Bacia de Santos é nomeada após a cidade costeira de Santos no estado de São Paulo.,Por que a Bacia de Santos tem esse nome?,A Bacia de Santos é nomeada após a cidade costeira de Santos no estado de São Paulo.
24,Santos Basin.txt,wikipedia,"The climate of the onshore stretch of the basin ranges from tropical savanna climate (Aw), tropical monsoon climate (Am) and tropical rainforest climate (Af) to a humid subtropical climate (Cfa). The onshore portion of the Santos Basin is in the Serra do Mar coastal forests ecoregion of the Atlantic Forest biome. On the islands of the Superagüi National Park in the Santos Basin, the endemic critically endangered Superagüi lion tamarin (Leontopithecus caissara) has its restricted habitat. ",How is the climate like at the Santos Basin?,"The climate of the onshore stretch of the basin ranges from tropical savanna climate (Aw), tropical monsoon climate (Am) and tropical rainforest climate (Af) to a humid subtropical climate (Cfa).","O clima do trecho onshore da bacia varia do clima de savana tropical (AW), clima tropical da monção (AM) e clima tropical da floresta (AF) a um clima subtropical úmido (CFA). A parte onshore da bacia de Santos está na ecorregião da floresta litoral da Serra do Mar. Nas ilhas do Parque Nacional Superagüi na Bacia de Santos, o endêmico criticamente ameaçado Superagüi Lion Tamarin (Leontopithecus Caissara) tem seu habitat restrito.",Como é o clima no Basin Santos?,"O clima do trecho onshore da bacia varia do clima de savana tropical (AW), clima tropical da monção (AM) e clima tropical da floresta (AF) a um clima subtropical úmido (CFA)."
